artiste_eng,artiste_kor,song_eng,song_kor,mnet_artiste,mnet_song,youtube_artiste,youtube_song,gaon_artiste,gaon_song
EXO-CBX,첸백시,Hey Mama!,"",EXO-CBX,Hey Mama!,"","","",""
KyuHyun,규현,Blah Blah (Prod. by Yoon JongShin),블라블라,KyuHyun,Blah Blah (Prod. by Yoon JongShin),"","","",""
TWICE,트와이스,TT,"",TWICE,TT,"","",TWICE,""
BTOB,비투비,I'll Be Your Man,기도,BTOB,I'll Be Your Man,"","","",""
MAMAMOO,마마무,Decalcomanie,데칼코마니,MAMAMOO,Decalcomanie,"","","",""
T-ara,티아라,TIAMO,띠아모,T-ara,TIAMO,"","","",""
BLACKPINK,블랙핑크,PLAYING WITH FIRE,불장난,BLACKPINK,PLAYING WITH FIRE,"","",BLACKPINK,""
B.A.P,"",SKYDIVE,"",B.A.P,SKYDIVE,"","","",""
VIXX,빅스,The Closer,"",VIXX,The Closer,"","","",""
ASTRO,아스트로 ,Confession,고백,ASTRO,Confession,"","","",""
MONSTA X,몬스타엑스,Fighter,"",MONSTA X,Fighter,"","","",""
ToppDogg,탑독,Rainy Day,비가 와서 그래,ToppDogg,Rainy Day,"","","",""
Hyolyn,효린,Paradise,"",Hyolyn,Paradise,"","","",""
Block B Bastarz,블락비 바스타즈 ,Make It Rain,"",Block B Bastarz,Make It Rain,"","","",""
VICTON,빅톤,I'm Fine,아무렇지 않은 척,VICTON,I'm Fine,"","","",""
24K,투포케이,BINGO,빙고,24K,BINGO,"","","",""
Davichi,다비치,Love is,받는 사랑이 주는 사랑에게,Davichi,Love is,"","","",""
Park SiHwan,박시환,Gift of Love,너 없이 행복할 수 있을까 ,Park SiHwan,Gift of Love,"","","",""
Berrygood,베리굿,Don't Believe,안 믿을래,Berrygood,Don't Believe,"","","",""
D.I.P,디아이피,FIZZ,"",D.I.P,FIZZ,"","","",""
Crayon Pop,크레용팝,Doo Doom Chit,두둠칫,Crayon Pop,Doo Doom Chit,"","","",""
BullDok,불독,Why not,어때요,BullDok,Why not,"","","",""
Baek ChungKang,백청강,BOMB DI BOMB,"",Baek ChungKang,BOMB DI BOMB,zna,zna,"",""
GIRLS GIRLS,여자여자,JUICY SECRET,쥬시시크릿,GIRLS GIRLS,JUICY SECRET,"","","",""
December,디셈버,Don't Go,"",December,I can't let you go,"","","",""
SE7EN,세븐,GIVE IT TO ME,"",SE7EN,GIVE IT TO ME,"","","",""
HALO,헤일로,Mariya,마리야,HALO,Mariya,"","","",""
MOMOLAND,모모랜드,JJan! Koong! Kwang!,짠쿵쾅,MOMOLAND,JJan! Koong! Kwang!,"","","",""
HIGHTEEN,하이틴,BOOM BOOM CLAP,붐붐 클랩,HIGHTEEN,BOOM BOOM CLAP,"","","",""
A.DE,에이디이,Good Time,"",A.DE,Good Time,"","","",""
Anda,안다,Like Family,가족같은,Anda,Like Family,"","","",""
SOUL LATIDO,소울라티도,Your Name,목이 쉬도록,SOUL LATIDO,Your Name,"","","",""
The EastLight,더이스트라이트,holla,홀라,The EastLight,holla,"","","",""
BoK,비오케이,Don't leave,떠나지마,BoK,Don't leave,zna,zna,"",""
Superkidd,슈퍼키드,Sundance,"",Superkidd,Sundance,"","","",""
Lim JeongHee,임정희,I.O.U,"",Lim JeongHee,I.O.U,"","","",""
BINBLOW,빈블로우,Say Don't Go,안된다고 해,BINBLOW,Say Don't Go,"","","",""
Kim Juna,김주나,Summer Dream,"",Kim Juna,Summer Dream,"","","",""
MATILDA,마틸다,You Bad! Don't Make Me Cry,넌 Bad 날 울리지마,MATILDA,You Bad! Don't Make Me Cry,"","","",""
Lee YeJoon,이예준,Be mine,"",Lee YeJoon,Be mine,zna,zna,"",""
Big Brain,빅브레인,Sick,아파,Big Brain,Sick,"","","",""
Shin YongJae,신용재,Lean On,빌려줄게,Shin YongJae,Lean On,"","","",""
Wax,왁스,You are You are You are,너를 너를 너를,Wax,You are You are You are,"","","",""
SORAN,소란,I want to be the only one to know,나만 알고 싶다,SORAN,I want to be the only one to know,"","","",""
MAN`S AVENUE,맨스에비뉴,Me on that day,그날의 내가,MAN`S AVENUE,Me on that day,"","","",""
Monday Kiz,먼데이키즈,Hardest Word,하기 싫은 말,Monday Kiz,Hardest Word,"","","",""
Na YoonKwon,나윤권,So it is,그래요,Na YoonKwon,So it is,zna,zna,"",""
