award,vote_start,vote_end,artiste,song,download_count,streaming_count,youtube_views,popularity_votes,normalized_ds,normalized_yv,normalized_pv,aggregate_score,created_at,updated_at
MCOUNTDOWN,2016-11-11,2016-11-14,BoK,Don't leave,0,0,0,0.0,0.00,0.00,0.00,0.00,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Park SiHwan,Gift of Love,0,0,46780,0.0,0.00,0.01,0.00,0.01,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Monday Kiz,Hardest Word,0,0,127470,0.0,0.00,0.02,0.00,0.02,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Crayon Pop,Doo Doom Chit,0,0,1324836,0.0,0.00,0.20,0.00,0.20,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Davichi,Love is,13757,810511,2250588,0.0,5.36,0.33,0.00,5.70,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,December,Don't Go,0,0,697410,0.0,0.00,0.10,0.00,0.10,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,BLACKPINK,PLAYING WITH FIRE,67681,4541330,84006,3.5,28.19,0.01,0.46,28.66,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Na YoonKwon,So it is,0,0,0,0.0,0.00,0.00,0.00,0.00,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,MAN`S AVENUE,Me on that day,0,0,20770,0.0,0.00,0.00,0.00,0.00,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,NC.A,Next Station,0,0,238363,0.0,0.00,0.04,0.00,0.04,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
