vote_start,vote_end,award,artiste,song,views,created_at,updated_at
2016-11-11,2016-11-14,MCOUNTDOWN,EXO-CBX,Hey Mama!,19927852,2016-11-26 01:27:22 +0800,2016-11-26 01:27:22 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,KyuHyun,Blah Blah (Prod. by Yoon JongShin),38,2016-11-26 01:27:23 +0800,2016-11-26 01:27:23 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,TWICE,TT,62913089,2016-11-26 01:27:23 +0800,2016-11-26 01:27:23 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,BTOB,I'll Be Your Man,4072755,2016-11-26 01:27:23 +0800,2016-11-26 01:27:23 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,MAMAMOO,Decalcomanie,3163235,2016-11-26 01:27:23 +0800,2016-11-26 01:27:23 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,T-ara,TIAMO,3870917,2016-11-26 01:27:23 +0800,2016-11-26 01:27:23 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,BLACKPINK,PLAYING WITH FIRE,29840303,2016-11-26 01:27:23 +0800,2016-11-26 01:27:23 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,B.A.P,SKYDIVE,1100882,2016-11-26 01:27:24 +0800,2016-11-26 01:27:24 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,VIXX,The Closer,1812277,2016-11-26 01:27:24 +0800,2016-11-26 01:27:24 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,ASTRO,Confession,1301052,2016-11-26 01:27:24 +0800,2016-11-26 01:27:24 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,MONSTA X,Fighter,8182200,2016-11-26 01:27:24 +0800,2016-11-26 01:27:24 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,ToppDogg,Rainy Day,642178,2016-11-26 01:27:24 +0800,2016-11-26 01:27:24 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Hyolyn,Paradise,1776543,2016-11-26 01:27:25 +0800,2016-11-26 01:27:25 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Block B Bastarz,Make It Rain,1443842,2016-11-26 01:27:25 +0800,2016-11-26 01:27:25 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,VICTON,I'm Fine,751537,2016-11-26 01:27:25 +0800,2016-11-26 01:27:25 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,24K,BINGO,909788,2016-11-26 01:27:25 +0800,2016-11-26 01:27:25 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Davichi,Love is,32058939,2016-11-26 01:27:25 +0800,2016-11-26 01:27:25 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Park SiHwan,Gift of Love,41489,2016-11-26 01:27:26 +0800,2016-11-26 01:27:26 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Berrygood,Don't Believe,564380,2016-11-26 01:27:26 +0800,2016-11-26 01:27:26 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,D.I.P,FIZZ,43159,2016-11-26 01:27:26 +0800,2016-11-26 01:27:26 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Crayon Pop,Doo Doom Chit,1269288,2016-11-26 01:27:26 +0800,2016-11-26 01:27:26 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,BullDok,Why not,1189583,2016-11-26 01:27:26 +0800,2016-11-26 01:27:26 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Baek ChungKang,BOMB DI BOMB,72,2016-11-26 01:27:27 +0800,2016-11-26 01:27:27 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,GIRLS GIRLS,JUICY SECRET,178356,2016-11-26 01:27:27 +0800,2016-11-26 01:27:27 +0800
